UMLS code of SE,all proteins
C0235146,HTR1A HTR1B HTR1D HTR1E HTR1F HTR2A HTR2B HTR2C HTR2C@inh
C0020651,ACE ACE@inh
C0151878,CYP2D6 CYP2D6@inh KCNH2
C0751295,LDLCQ3 LDLCQ3@inh
C0022408,CYP3A4 CYP3A5
C0023052,ACE ACE@inh
C0042401,CYP2B6 CYP2B6@inh CYP2C9 CYP3A4@inh
C0232487,HTR1B HTR1D HTR1D@inh HTR2B HTR2C HTR7
C0234458,ADRA2A ADRA2A@inh HTR2A HTR2B HTR2C HTR2C@inh
C0011071,CALM1 DRD2 DRD2@inh
C0038454,ACE ACE@inh
C0013428,CYP2C9 PTGS1 PTGS1@inh PTGS2 PTGS2@inh
C0027059,ADRA1B@inh ADRA2A@inh ADRA2B@inh ADRA2C@inh DRD1@inh DRD3@inh DRD4@inh DRD5@inh HTR1A@inh HTR1D@inh HTR1E HTR2C@inh HTR7@inh PTAFR TBXA2R
C0029927,CYP2C9 ESR1 ESR1@act ESR1@inh
C0085633,CYP2D6 CYP2D6@inh SLC6A3 SLC6A4 SLC6A4@inh
C0151824,CYP2C19 CYP2C19@inh
C0232292,HRH1 HRH1@inh
C0392176,CA1 CA12 CA14 CA2 CA4 CA5B CA6 CA7 CA9 SLC12A1 SLC12A1@inh
C0013362,HTR1F OPRK1
C0162297,OPRD1 OPRD1@act OPRK1 OPRK1@act OPRL1 OPRM1 OPRM1@act
C0018801,CYP2C9 PTGS1 PTGS1@inh PTGS2 PTGS2@inh
C0020507,CACNA1B CACNA1C CACNA1D CACNA1F CACNA1I CACNA1S CYP3A4 CYP3A5
C0338831,CYP1A2 CYP1A2@inh
C0314719,HTR1B HTR1D HTR1E HTR1F
C0038661,ADRA2C CYP2D6 CYP2D6@inh DRD1 DRD2@act DRD4 DRD5 HTR1A HTR1B HTR1D HTR2A HTR2B HTR7
C0235063,PTGS1 PTGS1@inh PTGS2 PTGS2@inh UGT2B7
C0012569,SCN5A SCN5A@inh
C0017979,CA2 CA2@inh SLC12A3 SLC12A3@inh
C0018524,HTR1B HTR1D HTR1F
C0023518,DRD5 DRD5@act DRD5@inh
C0030305,CYP3A4@inh CYP3A7
C0267596,ADRA1B@inh ADRA2B@inh CYP2D6 HTR1A@inh HTR1D@inh HTR2B HTR2C HTR2C@inh PTAFR SLC6A4
C0017178,CYP2D6 CYP2D6@inh CYP3A4 CYP3A4@inh
C0033975,CYP1A2 CYP1A2@inh CYP2E1
C0042571,HTR1B HTR1D HTR1F
C0151205,DRD1 DRD2@act DRD3@act DRD4@act DRD5@act HTR2A HTR2A@act
C0235969,HTR2C SLC6A2 SLC6A2@inh SLC6A3 SLC6A4 SLC6A4@inh
C0547030,CYP2D6 CYP2D6@inh HTR2C
C0022104,ADRA2A CYP2D6 DRD3 DRD4 DRD5 HTR2A HTR2B HTR2C HTR7
C0424823,ADRA1A@inh ADRA1D CALML3 CALN1 CHRM5 HTR2A@inh SLC6A3
C0013378,CYP2D6 CYP3A4 SLC6A4@inh
C0023066,ADRB1 ADRB1@inh ADRB2 ADRB2@inh ADRB3
C0149931,CYP2B6@inh CYP2C9 CYP3A4
C0233571,SCN10A SCN10A@inh
C0085605,CYP2C9@inh
C0234987,ADRA1A@inh ADRA1B@inh ADRA1D@inh ADRA2A ADRA2C
C0022346,CYP3A4@inh CYP3A7
C0042963,CYP2C8 CYP2C9 CYP2C9@inh CYP3A4 CYP3A4@inh
C0080274,ADRA2C CYP1A2 HTR3A@inh
C0162557,CYP3A5@inh CYP3A7@inh CYP51A1 CYP51A1@inh
C0338831,CYP2B6@inh SLC6A2 SLC6A3 SLC6A3@inh
C0428772,CYP1B1 CYP1B1@inh TOP2B TOP2B@inh
C1140680,AR@inh CYP1B1 ESR1 ESR1@act ESR1@inh
C2239176,CYP2C8@inh LDLCQ3 LDLCQ3@inh
C0035410,LDLCQ3 LDLCQ3@inh
C0011206,SLC6A4 SLC6A4@inh
C0018418,ABCB1 ABCB1@inh ABCB5 TBC1D9
C0085612,PDE5A PDE5A@inh
C0086565,CYP2B6@inh CYP2C9 CYP2C9@inh CYP3A4@inh
C0424000,DRD2 DRD3 DRD4 DRD5 HTR1B HTR1D HTR2A HTR2C HTR3A HTR6 HTR7
C0002453,CYP2B6@inh SLC6A3
C0015695,CYP2C9 CYP2D6@inh CYP3A4@inh LDLCQ3 LDLCQ3@inh
C0020701,CHRM1 CYP2B6 CYP2B6@inh CYP2D6 CYP2D6@inh SLC6A2 SLC6A3 SLC6A3@inh SLC6A4 SLC6A4@inh
C0233407,ADRB1@inh ADRB2@inh
C0018520,CYP2B6@inh CYP2D6@inh CYP3A4 SLC6A2 SLC6A2@inh SLC6A3 SLC6A3@inh SLC6A4@inh
C1260880,ADRA2A ADRA2B@act ADRA2C ADRA2C@act DRD1 DRD1@act DRD2 DRD2@act DRD3@act DRD4@act DRD5 DRD5@act HTR1A HTR1B HTR1D HTR2B HTR2C HTR7
C0020039,ADRA2A ADRA2A@inh HTR1A HTR1A@inh HTR2A HTR2A@inh HTR2C HTR2C@inh OPRK1 SLC6A4
C0027424,ADRB1 ADRB2
C0037822,HTR1B HTR1D HTR1E HTR1F HTR2B
C0341697,AGTR1@inh SLC15A1 SLC15A1@inh
C0030305,CYP2C8 CYP2C9@inh
C0344320,ADRB1 ADRB1@inh ADRB2 ADRB2@inh
C0151480,ACE ACE@inh
C0013404,ADRA2B ADRA2C HTR1A HTR1B HTR1D HTR1E HTR1F HTR2B
C0014130,CYP2D6@inh DRD5 DRD5@inh HTR2B HTR2C HTR7 SLC6A4
C0178428,SCN5A SCN5A@inh
C0021080,NR3C1 NR3C1@act
C0038454,CHRM5@inh SLC6A4 SLC6A4@inh
C0085649,CYP2B6@inh CYP2C9 CYP3A4
C0085688,ABCB1 ABCB1@inh CALM1 CHRM1 CHRM2 HTR2A
C0151772,ADRA2A@inh CYP2D6 CYP2D6@inh CYP3A4 HTR1A@inh HTR1B HTR1D HTR1E HTR1F HTR2B HTR2C HTR2C@inh HTR7
C0232431,ADRA2A DRD3@act DRD4@act DRD5@act HTR2A HTR2B HTR2C
C0409974,SCN5A SCN5A@inh
C0151559,SCN5A SCN5A@inh
C0233414,ADRA2B@inh CYP2D7P1 HTR2A HTR2B HTR2C HTR2C@inh SLC6A4
C0025061,CYP2D6 CYP2D6@inh CYP3A4
C0085632,ADRA2A HTR1A@inh HTR1F HTR2B HTR2C HTR2C@inh HTR7
C0231218,CYP2C9 CYP2C9@inh
C0857496,CYP19A1 CYP19A1@inh
C0003864,CYP2C9 CYP2C9@inh CYP2D6 CYP3A4 LDLCQ3 LDLCQ3@inh
C0085633,HTR2A HTR2C
C0333355,TOP2A TOP2A@inh TOP2B TOP2B@inh
C0018772,PDE5A PDE5A@inh
C1510472,SLC6A2 SLC6A2@inh SLC6A3 SLC6A4 SLC6A4@inh
C0023530,DRD1@inh DRD2@inh DRD3@inh DRD5@inh HTR6
C0085628,CYP2B6@inh SLC6A4 SLC6A4@inh
C0236068,HTR1B HTR1D HTR1E
C0333641,NR3C1 NR3C1@act
C0002962,ACE ACE@inh
C0014394,ADRA1B@inh ADRA2A ADRA2A@inh ADRA2B@inh ADRA2C@inh DRD2 DRD2@inh HTR1A HTR1A@inh HTR1D@inh HTR2A HTR2B HTR2C HTR2C@inh HTR6 SLC6A4
C0017675,PTGS1 PTGS1@inh PTGS2 PTGS2@inh
C0332575,CYP3A7 ESR1@act
C0547030,CYP3A5 CYP3A7
C0852733,HTR2C HTR6 SLC6A4
C2979982,ADRA1B@inh ADRA2A@inh ADRA2B@inh DRD2@act HTR1A@inh HTR1D@inh HTR2B HTR2C HTR2C@inh
C0011551,HTR1A HTR1A@inh HTR1B HTR1D HTR1E HTR1F
C0013491,PTGS1 PTGS1@inh PTGS2 PTGS2@act PTGS2@inh
C0018965,CYP2C19@inh CYP2C9 CYP2C9@inh
C0151547,CYP2C9 CYP2C9@inh
C0002878,ACE ACE@inh
C0004044,ADRA2A ADRA2B ADRA2C CHRM3 DRD1@inh DRD2 DRD2@inh DRD3 DRD3@inh DRD4 DRD4@inh DRD5 DRD5@inh HRH1 HRH3 HTR1A HTR1A@inh HTR2A HTR2A@inh HTR2C HTR3A HTR5A HTR6 HTR7
C0015734,OPRK1
C0042267,CYP2B6@inh CYP3A4
C0042373,CYP2D6 CYP2D6@inh SLC6A4 SLC6A4@inh
C0686347,SLC6A3 SLC6A4@inh
C0700198,ADRA2B@inh DRD1 DRD1@inh DRD5@inh HTR1A@inh HTR1B@inh HTR1D@inh HTR2C@inh HTR3A@inh HTR5A HTR6@inh
C0012813,CYP2D6 HTR2C
C0014591,CYP2B6@inh CYP2C9 CYP2C9@inh
C0040264,CYP2D6 CYP2D6@inh HTR2A SLC6A4 SLC6A4@inh
C0021308,CYP1A2 CYP2C9
C2830004,CYP2C9 CYP2D6 CYP2D6@inh
C0025345,SLC6A2 SLC6A2@inh SLC6A3 SLC6A3@inh SLC6A4 SLC6A4@inh
C0043049,ADRA1B@inh ADRA2A@inh ADRA2B@inh DRD1 DRD1@inh DRD2@inh DRD3@inh DRD4@inh DRD5@inh HTR1A@inh HTR1E HTR1F HTR2A@inh HTR2C@inh HTR6 PTAFR TBXA2R
C0018799,ADRA2A ADRA2B@inh HTR2A HTR2C
C0235267,ADRA2A@inh HRH1 HRH1@inh
C0014356,ALOXE3 UGT1A1
C0243026,TOP2A TOP2A@inh TOP2B TOP2B@inh
C1456784,DRD2@act DRD3@act DRD4 DRD4@act DRD5@act HTR2A HTR2B
C0006444,CYP2B6@inh CYP2D6 CYP2D6@inh SLC6A4 SLC6A4@inh
C0277925,HTR1B HTR1D
C0702166,CYP2B6@inh
C0877322,CYP2D6 CYP2D6@inh HTR2A HTR2B HTR7 SLC6A4
C0010692,CYP2B6@inh CYP2C9@inh
C0013404,CYP2C9
C0151474,CYP2B6@inh
C0009676,CHRM1 CHRM1@inh CHRM3 CHRM4 CHRM4@inh CHRM5 CHRM5@inh
C0015645,ALB PTGS1@inh PTGS2 PTGS2@act PTGS2@inh TTR
C0041956,TOP2A TOP2A@inh TOP2B TOP2B@inh
C0241633,AR CYP19A1 CYP19A1@inh CYP3A4@inh ESR1 ESR1@act ESR1@inh
C0857121,ACE ACE@inh
C0002994,PTGS1 PTGS1@inh PTGS2 PTGS2@inh
C0018621,SLC6A2 SLC6A2@inh SLC6A3 SLC6A3@inh
C0043352,SLC6A3 SLC6A4@inh
C0151825,CYP2C9 CYP3A4 CYP3A4@inh
C0600097,SLC6A2 SLC6A2@inh
C0004604,CYP2C9 CYP3A4 CYP3A5
C0151827,CYP2B6@inh SLC6A4@inh
C0020564,CYP2D6 SLC6A2 SLC6A3 SLC6A4 SLC6A4@inh
C0037317,ADRB1 ADRB1@inh ADRB2@inh
C0541919,CYP2D6 DRD2 DRD2@inh DRD3 DRD3@inh DRD4 DRD4@inh
C0852733,CYP2D6@inh SLC6A2 SLC6A2@inh SLC6A3 SLC6A3@inh
C0003467,CYP2C9
C0027121,CYP2C8 CYP2C8@inh CYP3A4 LDLCQ3 LDLCQ3@inh
C0036104,ACHE ACHE@inh BCHE
C0232461,CYP2B6@inh CYP2C9 CYP2D6 CYP2D6@inh CYP3A4
C0020625,CYP2C19@inh
C0025323,ADRA2A ADRA2A@inh HTR1A HTR1A@inh HTR1D HTR1D@inh HTR2A HTR2B HTR2C HTR2C@inh
C0836924,ADRA1B@inh ADRA2A@inh ADRA2B@inh ADRA2C@inh CHRM3 CHRM3@inh CHRM4@inh CHRM5 CHRM5@inh DRD2@act HTR1A@inh HTR1B@inh HTR1D@inh HTR2A HTR2C HTR2C@inh HTR6@inh HTR7@inh SLC6A4
C0010520,HTR1F
C0015672,CYP3A4
C0006145,ADRA1A@inh ADRA1B@inh CYP2D6 CYP2D6@inh CYP3A4 HTR1D@inh HTR2B HTR2C HTR2C@inh HTR7
C0019158,CYP3A4@inh CYP3A5 CYP3A5@inh CYP3A7@inh
C0020550,CHRM5@inh DRD1 DRD2@act DRD4 DRD5 HTR1B HTR1D HTR1E HTR2A HTR2B HTR2C
C0030305,ACE ACE@inh
C0036974,CYP2B6 CYP2C18 CYP2C9
C0039971,SLC6A2 SLC6A3 SLC6A3@inh SLC6A4 SLC6A4@inh
C0040038,CYP19A1 CYP19A1@inh
C0040460,ADRA2B@inh CYP3A4 DRD1 DRD2@act DRD3 DRD4 DRD5 HTR1B HTR1D HTR2A HTR2B HTR2C HTR2C@inh HTR7
C0009421,PTGS1 PTGS1@inh PTGS2 PTGS2@inh
C0020443,CYP2B6@inh CYP3A4 SLC6A4 SLC6A4@inh
C0043144,ADRB1 HTR1D@inh HTR2B
C0349506,PTGS1 PTGS1@inh PTGS2 PTGS2@inh
C0398353,GABRA1 GABRA2 GABRA3 GABRA5 GABRA6
C0012569,CYP2D6 CYP2D6@inh SLC6A4 SLC6A4@inh
C0017601,CHRM1 CYP2D6 CYP2D6@inh SLC6A3 SLC6A3@inh SLC6A4 SLC6A4@inh
C0017675,CYP2C9 CYP2C9@inh CYP3A4
C0019572,AR AR@inh
C0235146,CYP2D6 CYP2D6@inh SLC6A4 SLC6A4@inh
C0442874,CYP2B6@inh CYP2D6@inh
C0549448,CHRM3 CHRM3@inh CHRM4@inh CHRM5 CHRM5@inh HTR1B@inh HTR1D@inh HTR2C@inh HTR6@inh
C0014742,CYP1A2 CYP1A2@inh
C0031117,CYP2C8@inh CYP2C9@inh CYP3A4 CYP3A5 LDLCQ3 LDLCQ3@inh
C0042023,CYP2D6 CYP2D6@inh SLC6A2 SLC6A3 SLC6A4 SLC6A4@inh
C1258215,DRD1 DRD1@inh DRD2@inh DRD3 DRD3@inh DRD4@inh DRD5 DRD5@inh HTR2A HTR2A@inh HTR5A HTR6
C0001824,CHRM5 DRD2@inh DRD3@inh DRD4@inh DRD5@inh HRH1 HTR2C HTR6 SLC6A4
C0027947,DHFRL1 TYMS TYMS@inh
C0035067,ACE ACE@inh
C0221152,ADRA1A@inh CALM1 CALML3 CALN1 DRD2@inh DRD3@inh DRD4 DRD4@inh DRD5 DRD5@inh HTR6
C0231919,CHRM1@inh CHRM2 CHRM2@inh CHRM3 CHRM3@inh
C0233494,CHRM1 CHRM1@inh CHRM2@inh CHRM3 CHRM3@inh CHRM4@inh
C0042345,CYP2B6@inh HTR2C SLC6A4@inh
C0600142,CYP2D6 HTR2B
C0020564,CYP2C9
C0020580,HTR1B HTR1B@act HTR1D HTR1D@act
C0947912,CYP2C9 CYP3A4@inh
C0085649,HTR1A HTR1E HTR2B HTR7
C0220870,ADRB1 ADRB2
C0595877,ADRA1B@inh ADRA2A@inh ADRA2B@inh CYP2D6@inh HTR1A@inh HTR2C@inh
C1456784,HTR2C HTR2C@act
C0011206,CYP2B6 CYP2B6@inh
C0011206,CYP3A4 CYP3A4@inh OPRK1
C0013384,MAOB
C0014724,CYP2D6 CYP2D6@inh HTR1F HTR2A HTR2C HTR2C@inh
C0023530,CYP2B6@inh CYP2C9 CYP2C9@inh
C0041834,PTGS1 PTGS1@inh PTGS2 PTGS2@inh
C0011551,CYP2B6@inh
C0019158,CYP2B6 CYP2B6@inh CYP2D6@inh
C0025874,SLC6A3 SLC6A3@inh SLC6A4 SLC6A4@inh
C0034880,HTR1B HTR1B@act HTR1D HTR1D@act
C0002957,SLC6A2 SLC6A2@inh SLC6A3 SLC6A3@inh SLC6A4 SLC6A4@inh
C0003467,HTR3A HTR3A@inh
C0013456,CYP2C9 CYP3A4
C0036973,GLRA1
C0038354,HTR1A HTR1B HTR1D HTR1E HTR2A HTR2B HTR2C HTR6 HTR7
C0149725,ADRA1B@inh ADRA2A@inh ADRA2B@inh ADRA2C@inh ADRB1 CYP2C9 HRH2 HTR1A@inh HTR1D@inh HTR2B HTR2C@inh PTAFR
C0151706,CYP19A1 CYP19A1@inh
C0235146,GABRA1 GABRA2 GABRA3 GABRA4 GABRA5 GABRA6 GABRB2 GABRB3 GABRD GABRE GABRG1 GABRG2 GABRG3 GABRP
C0262988,CA12 CA1@inh CA2 CA2@inh CA4 CA4@inh CA5B CA7 CA9
C0278106,ADRA1A@inh ADRA2A CYP2D6
C0424823,KCND3 SLC6A2 SLC6A2@inh SLC6A4 SLC6A4@inh
C0750394,ADRA1B@inh ADRA2A@inh ADRA2B@inh ADRA2C@inh DRD1@inh DRD3@inh DRD4@inh DRD5@inh HTR1A@inh HTR1D@inh HTR1E HTR2C@inh HTR7@inh PTAFR
C0005741,ADRA2A@inh ADRA2B@inh CYP2D6@inh DRD2@act HTR1A@inh HTR1D@inh HTR2A HTR2C HTR2C@inh SLC6A4
C0016663,CYP3A4 CYP3A4@inh
C0021843,ADRA2A@inh CYP3A4 HTR1A@inh HTR1F HTR2C HTR2C@inh OPRK1 SLC6A4
C0022568,ADRA2A@act
C0028084,GABRA2 GABRA3 GABRA4 GABRA5 GABRA6
C0151908,CYP2B6@inh CYP2C9 CYP2D6 CYP3A4
C0314719,CHRM2 CHRM3 CHRM3@inh CHRM4@inh CHRM5 CHRM5@inh
C0520966,HTR1B@act HTR1D@act HTR1F
C0855329,ADRA2C@inh HTR1B@inh HTR3A HTR3A@inh HTR6 HTR6@inh HTR7 HTR7@inh
C0332575,CYP1B1@inh
C0017574,CYP2B6@inh
C0017601,ADRA2A ADRA2A@inh HTR1A@inh HTR2A HTR2C HTR2C@inh
C0034880,CYP2B6 CYP2B6@inh SLC6A3 SLC6A3@inh SLC6A4
C0042373,CYP3A4 HTR2B
C0220870,HTR1A HTR1A@act HTR1D HTR2B HTR2C HTR7 HTR7@inh
C0340865,PTGS1@inh PTGS2 PTGS2@inh
C0340865,ACE ACE@inh
C0001800,CYP2B6@inh
C0015732,CYP2D6@inh DRD5 DRD5@inh HTR2A HTR2B HTR2C HTR2C@inh
C0023066,OPRK1 OPRM1 OPRM1@act
C0038525,HTR1A@act HTR1B HTR1B@act HTR1D HTR1D@act HTR1E
C0041981,TOP2A TOP2A@inh TOP2B TOP2B@inh
C0085632,CYP2B6@inh
C0262397,AR AR@inh
C0409974,CYP1A2 FMO3
C0541820,NR3C1
C1320835,MPO
C1510497,CYP2C9@act LDLCQ3 LDLCQ3@inh
C0011175,CYP2B6@inh
C0018801,DRD1@act DRD2@act DRD3@act DRD4@act DRD5@act HTR2A HTR2A@act HTR2C HTR2C@act
C0232493,PTGS1 PTGS1@inh PTGS2 PTGS2@inh
C0017160,SLC6A2 SLC6A2@inh SLC6A3 SLC6A3@inh SLC6A4 SLC6A4@inh
C0020433,CYP2C9 CYP2D6 CYP3A4
C0026857,CYP3A4
C0033975,HTR1A@act
C0151905,CYP2D6@inh HTR2C@inh
C0220870,HTR1B HTR2A HTR2A@inh HTR5A
C0277925,CYP2D6 CYP2D6@inh HTR4 SLC6A3
C0013144,ADRA1A DRD2 DRD2@inh DRD4@inh
C0014335,CYP2C19@inh
C0027651,CYP3A4
C0037036,ACHE ACHE@inh
C0085593,HTR1F HTR2C@inh
C0151798,ALOX5 ALOX5@inh
C0856151,CYP2C9 CYP3A5@inh CYP3A7@inh
C0007859,SLC6A2 SLC6A2@inh SLC6A3 SLC6A3@inh SLC6A4 SLC6A4@inh
C0020580,CYP2B6@inh CYP2C9 CYP2D6 CYP2D6@inh CYP3A4
C0234458,CYP1A2 CYP2B6@inh
C0518988,DRD1 DRD2@act DRD5 HTR2C
C0009763,CYP2C9 UGT1A4
C0022116,CYP3A4
C0039446,NR3C1 NR3C1@act
C0085688,ADRA2A DRD1@inh DRD2 DRD3 DRD5@inh HTR1A HTR2C HTR5A HTR7 SLC6A4
C0241934,ADRA2A@inh CHRM4@inh CHRM5 CHRM5@inh
C0549622,CYP2B6@inh
C1258215,CHRM2 CHRM3 CHRM4 CHRM5 CHRM5@inh SLC6A4
C0002792,PTGS1 PTGS1@inh PTGS2 PTGS2@inh
C0020564,ADRA1A@inh ADRA2A@inh HTR2A HTR2A@inh HTR2C
C0033046,CYP2D6 CYP2D6@inh SLC6A3 SLC6A4
C0033860,ADRA2A ADRA2C HTR1D HTR2B HTR2C HTR7
C0036104,HTR1F
C0574067,CYP2B6 CYP2B6@inh CYP2C9 CYP3A4 CYP3A4@inh
C0001807,GABRA4 GABRA6 GABRB1 GABRB2 GABRB3 GABRD GABRE GABRG1 GABRG2 GABRG3 GABRP GABRQ
C0021177,CYP2B6@inh SLC6A3
C0022346,CYP1A2@inh
C0040479,HTR2C SLC6A4 SLC6A4@inh
C0221490,HRH1 HRH1@inh
C0278080,OPRD1 OPRD1@act OPRK1 OPRM1 OPRM1@act
C0393761,ADRA2A HTR2A HTR2C HTR7
C0877046,HTR2C HTR2C@inh
C0017160,CYP3A4 CYP3A4@inh HTR2C@inh
C0022904,OPRK1@act
C0152517,ADRA2A HTR2C SLC6A2 SLC6A2@inh SLC6A4
C0162830,SLC6A3 SLC6A3@inh SLC6A4 SLC6A4@inh
C0740394,HTR1B@inh HTR1D@inh HTR6@inh TBXA2R
C0006325,ADRA2A ADRA2B ADRA2C DRD1 DRD2@act DRD4@act DRD5 DRD5@act HTR2B HTR7
C0017979,CA12 CA4 CA5B CA6 CA7 CA9
C0021831,PTGS1@inh PTGS2 PTGS2@inh UGT2B7
C0022354,CA1 CA1@inh CA2 CA2@inh CA4 CA4@inh
C0729233,CYP2D6 CYP2D6@inh CYP3A4
C0007859,ADRA1B@inh ADRA2A@inh CYP3A4 HTR1A@inh HTR2A HTR2C@inh
C0010038,FMO1
C0011206,ADRA2A@inh ADRA2B@inh CHRM5@inh CYP2D6 CYP2D6@inh DRD1@inh DRD2@act HTR1A@inh HTR1B@inh HTR1D@inh HTR2C HTR2C@inh HTR3A@inh HTR6@inh HTR7 PTAFR
C0085633,CYP2B6 CYP2B6@inh
C0178428,ADRB1@inh
C0019348,CYP2C9 CYP2C9@inh
C0151723,CYP3A4@inh
C0013144,ADRA1D ADRA2B ADRA2C
C0013146,CYP2B6 SLC6A2 SLC6A2@inh SLC6A4@inh
C0014457,CYP2C8@inh CYP2C9 CYP2C9@inh
C0023067,CYP1A2 CYP2B6@inh CYP2C9 CYP3A4
C0151766,CYP3A7@act
C0151766,PPARA
C0234909,CYP1A1 CYP1B1
C0344232,CHRM1 CHRM1@inh CHRM2 CHRM2@inh CHRM3 CHRM3@inh CHRM4 CHRM5
C0854467,CYP1B1@inh
C0011334,SLC6A3 SLC6A4 SLC6A4@inh
C0018524,OPRK1 OPRK1@act
C0023518,DRD3 DRD3@act DRD3@inh
C0039520,SLC6A4 SLC6A4@inh
C0043096,CYP2B6@inh
C0151480,CYP2C8@inh LDLCQ3 LDLCQ3@inh
C0392676,SLC6A4
C0026821,CYP1A2 CYP1A2@inh
C0033975,SLC6A3 SLC6A4
C0151772,CYP1A2 MAOA
C0003467,ADRB1
C0011603,CYP1A2@inh CYP2C8 CYP2C9@inh
C0017152,CYP2C8 CYP2C9@inh CYP3A4
C0026826,CYP2C9
C0036508,CYP3A4@inh
C0040460,PTAFR SLC6A4 TBXA2R
C0392025,CYP3A4@inh CYP3A7
C0003635,ACHE ACHE@inh BCHE@inh
C0006114,DRD2@inh DRD3@inh DRD4 DRD4@inh DRD5 DRD5@inh HTR6
C0009324,ALOXE3 IL8 PTGS1 PTGS1@inh PTGS2 PTGS2@inh TTR
C0020757,LDLCQ3 LDLCQ3@inh
C0021141,ABCC8
C0023418,CYP2C19 CYP2C19@inh
C0036130,CYP2B6@inh SLC6A2 SLC6A2@inh SLC6A3 SLC6A3@inh
C0042133,ESR1 ESR1@act ESR1@inh
C0085649,CYP2D6 HTR2A HTR2C HTR2C@inh SLC6A4
C0151734,TOP2A TOP2A@inh
C0235146,MAOA MAOA@inh MAOB@inh
C0262576,LDLCQ3 LDLCQ3@inh
C0393760,SLC6A2 SLC6A2@inh SLC6A3 SLC6A3@inh
C0424092,SLC12A3 SLC12A3@inh
C0877322,SLC6A2 SLC6A2@inh SLC6A3 SLC6A3@inh
C2939186,TYMS TYMS@inh
C0026650,ADRA1A@inh ADRA1B@inh ADRA2B@inh DRD1@inh HTR1F KCNH2 PTAFR TBXA2R
C0026837,CYP2E1 SLC6A3
C0040435,CYP3A4 SLC6A3 SLC6A3@inh
C0235660,CYP3A5
C1456822,ADRB1 ADRB1@inh ADRB2 ADRB2@inh
C0011616,CYP2B6@inh CYP2C8 CYP2C9
C0011849,CYP2D6@inh HTR2B HTR2C SLC6A4
C0017601,DRD2@act
C0028734,CYP2D6 CYP2D6@inh SLC6A4 SLC6A4@inh
C0267596,CYP2C19@inh
C0332601,NR3C1 NR3C1@act
C0392676,CYP2E1
C0020443,HTR1D@inh HTR2B HTR2C HTR2C@inh
C0040479,CYP2B6 CYP2B6@inh
C0042109,CYP3A5 CYP3A7
C0409974,CYP2C8 CYP2C8@inh
C0011334,DRD1 DRD2@act
C0013144,HTR1A HTR1B HTR2A HTR2A@inh HTR5A HTR6
C0030794,AR@act
C0030794,ESR1 ESR1@inh ESR2
C0032290,ADRA2B@inh DRD1 DRD1@inh DRD5 HTR1D@inh HTR2B HTR3A@inh
C0085682,CYP3A4 CYP3A4@inh LCK
C0235234,ADRA2B@inh ADRA2C@inh CHRM1@inh CHRM2@inh CHRM3 CHRM3@inh CHRM4 CHRM4@inh CHRM5@inh HRH1@inh HTR2C HTR2C@inh
C0746883,TOP2B TOP2B@inh
C0857121,CACNA1C CACNA1D CACNA1F CACNA1S
C1443060,OPRK1 SLC6A2 SLC6A2@inh SLC6A4
C0009676,SLC6A4 SLC6A4@inh
C0014868,CYP2C9 PTGS1@inh PTGS2 PTGS2@inh
C0080274,OPRD1 OPRD1@act OPRK1@act OPRM1
C0151611,CALM1 DRD3@inh DRD4@inh DRD5@inh HTR6
C0162529,HTR1B@act HTR1D HTR1D@act
C0242350,CHRM3
C0024314,ABCB1
C0040456,OPRK1
C0042134,UGT1A4 UGT2B7
C0011168,CYP1A2 CYP2B6@inh
C0019270,CYP2C9
C0037023,CA4 SLC12A3 SLC12A3@inh
C0233754,ADRA1A@inh CYP2B6@inh SLC6A2 SLC6A2@inh SLC6A3 SLC6A3@inh
C0006145,SLC6A2 SLC6A2@inh SLC6A4
C0006277,CYP2B6@inh CYP3A4
C0020456,CYP2C9@inh
C0020564,CYP3A5 CYP3A7
C0025874,ADRA2A@inh CYP3A4 CYP3A4@inh HTR1A@inh HTR2C HTR2C@inh
C0038990,CYP2C9
C0020453,CYP2B6 CYP2B6@inh CYP3A4
C0021167,CYP2B6@inh CYP2C9
C0021368,PTGFR
C0026837,OPRD1 OPRD1@act OPRK1@act OPRM1 OPRM1@act
C0030794,CYP2B6@inh CYP2C9
C0013595,ADRA1A@inh ADRA1B@inh ADRA2B@inh HTR1A@inh HTR1D@inh HTR2B HTR2C HTR2C@inh
C0028734,CYP2C9 CYP3A7
C0029877,CYP2C19@inh CYP2C9 CYP3A4
C0033774,CYP2C9 CYP2C9@inh
C0033975,SCN5A SCN5A@inh
C0039971,HTR1A@inh HTR2C@inh
C0085633,ADRB1 ADRB1@inh ADRB2@inh
C0231218,CYP2D6 CYP3A4 CYP3A4@inh CYP3A5
C0004093,CYP3A4 CYP3A4@inh CYP3A7
C0018524,HTR1A@act
C0018979,DRD2@act DRD3@act DRD4@act DRD5@act
C0019825,ACE ACE@inh
C0027947,CYP3A4@inh PTAFR
C0030554,HTR1B HTR1D
C0037383,HTR3A HTR3A@inh HTR6@inh
C0151315,CYP2D6 CYP2D6@inh HTR2C@inh SLC6A4
C0151883,CYP3A4@inh
C0302810,ABCB1 ABCB1@inh
C0549433,HTR2A@inh
C0812387,CYP2D6 CYP2D6@inh SLC6A2 SLC6A2@inh SLC6A3 SLC6A4
C2004489,HTR1B@act HTR1D@act
C0013144,CHRM1 CHRM1@inh
C0036974,CYP1B1
