UMLS code of SE,all proteins
C0151564,ADRA1A ADRA1A@inh ADRA1B ADRA1B@inh ADRA1D ADRA2A ADRA2A@inh ADRA2B ADRA2B@inh ADRA2C ADRA2C@inh CALM1 CHRM1 CHRM1@inh CHRM2 CHRM2@inh CHRM3 CHRM3@inh CHRM4 CHRM4@inh CHRM5 CHRM5@inh CYP2D6 CYP2D6@inh DRD1 DRD1@inh DRD2 DRD2@act DRD2@inh DRD3 DRD3@inh DRD4 DRD4@inh DRD5 DRD5@inh HRH1 HRH1@inh HTR1A HTR1A@inh HTR1B HTR1B@inh HTR1D HTR1D@inh HTR1E HTR2A HTR2A@inh HTR2B HTR2C HTR2C@inh HTR3A HTR5A HTR6 HTR6@inh HTR7 HTR7@inh KCNH2 PTAFR SLC6A4 TBXA2R
C0235660,ADRA1A ADRA1B ADRA1D ADRA2A ADRA2B ADRA2B@inh ADRA2C ADRA2C@inh CYP3A7 DRD1 DRD1@inh DRD2 DRD2@inh DRD3 DRD3@inh DRD4 DRD4@inh DRD5 DRD5@inh HRH1 HTR1A HTR1E HTR2A HTR2A@inh HTR2B HTR2C HTR2C@inh HTR5A HTR6 HTR7 KCNH2
C0030920,IL8 PTGS1 PTGS1@inh PTGS2 PTGS2@inh TTR
C0018418,ADRA1A ADRA1A@inh ADRA1B ADRA1B@inh ADRA2A ADRA2A@inh ADRA2B ADRA2C CHRM1 CHRM2 CHRM3 CHRM5 CYP1A2 CYP2D6 CYP2D6@inh CYP3A7 DRD1 DRD1@inh DRD2 DRD2@act DRD2@inh DRD3 DRD3@inh DRD4 DRD4@inh DRD5 DRD5@inh HRH1 HRH2 HTR1A HTR1A@inh HTR1B HTR1D HTR1E HTR2A HTR2A@inh HTR2C HTR2C@inh HTR5A HTR6 HTR7 KCNH2 PTAFR SLC6A4
C0080274,CHRM1 CHRM1@inh CHRM2 CHRM2@inh CHRM3 CHRM3@inh CHRM4 CHRM4@inh CHRM5 CHRM5@inh DRD1 DRD1@inh DRD2 DRD2@inh DRD3 DRD3@inh DRD4 DRD4@inh DRD5 DRD5@inh HRH1 HTR3A HTR6
C0006147,ADRA1A ADRA1A@inh ADRA1B ADRA1B@inh ADRA1D ADRA2A ADRA2A@inh ADRA2B ADRA2B@inh ADRA2C ADRA2C@inh CHRM1 CHRM2 CHRM3 CHRM4 CHRM5 CHRM5@inh CYP1A2 DRD1 DRD1@inh DRD2 DRD2@act DRD2@inh DRD3 DRD3@inh DRD4 DRD4@inh DRD5 DRD5@inh HRH1 HTR1A HTR1A@inh HTR1B HTR1B@inh HTR1D HTR1D@inh HTR1E HTR2A HTR2A@inh HTR2B HTR2C HTR2C@inh HTR3A HTR5A HTR6 HTR6@inh HTR7 HTR7@inh KCNH2 PTAFR SLC6A4 TBXA2R
C0002453,ADRA1A ADRA1A@inh ADRA1B ADRA1B@inh ADRA2A ADRA2A@inh ADRA2B ADRA2C CALML3 CALN1 CHRM1 CHRM3 CHRM5 CYP2D6 CYP2D6@inh CYP3A4 DRD1 DRD1@inh DRD2 DRD2@inh DRD3 DRD3@inh DRD4 DRD4@inh DRD5 DRD5@inh HRH1 HTR1A HTR1A@inh HTR1B HTR1D HTR1D@inh HTR1E HTR2A HTR2A@inh HTR2B HTR2C HTR2C@inh HTR3A HTR5A HTR6 HTR7 SLC6A4
C0221271,ADRA1A ADRA1A@inh ADRA1B ADRA1B@inh ADRA1D ADRA2A ADRA2A@inh ADRA2B ADRA2B@inh ADRA2C ADRA2C@inh CHRM1 CHRM2 CHRM5 CHRM5@inh CYP2D6 CYP2D7P1 DRD1 DRD1@inh DRD2 DRD2@act DRD2@inh DRD3 DRD3@inh DRD4 DRD4@inh DRD5 DRD5@inh HRH1 HRH1@inh HTR1A HTR1A@inh HTR1B HTR1D HTR1D@inh HTR1E HTR1F HTR2A HTR2A@inh HTR2B HTR2C HTR2C@inh HTR3A HTR5A HTR6 HTR6@inh HTR7 HTR7@inh KCNH2 OPRK1 PTAFR SLC6A4 TBXA2R
C0020651,CYP2D6@inh DRD1 DRD1@act DRD2 DRD2@act DRD3 DRD4 DRD5 HTR1A HTR1A@act HTR1A@inh HTR1B HTR1D HTR1E HTR2A HTR2A@act HTR2A@inh HTR2B HTR2C HTR2C@act HTR2C@inh HTR5A HTR6 HTR7 HTR7@inh SLC6A4 SLC6A4@inh
C0026837,ADRA1A ADRA1A@inh ADRA1B ADRA1B@inh ADRA2A ADRA2A@inh ADRA2B ADRA2B@inh ADRA2C CHRM1 CHRM2 CHRM3 CHRM4 CHRM5 CHRM5@inh CYP1A2 CYP2D6 CYP2D6@inh CYP3A4 CYP3A4@inh DRD1 DRD1@inh DRD2 DRD2@inh DRD3 DRD3@inh DRD4 DRD4@inh DRD5 DRD5@inh HRH1 HTR1A HTR1A@inh HTR1B HTR1B@inh HTR1D HTR1D@inh HTR1E HTR1F HTR2A HTR2A@inh HTR2B HTR2C HTR2C@inh HTR3A HTR3A@inh HTR5A HTR6 HTR6@inh HTR7 OPRK1 PTAFR SLC6A4 TBXA2R
